,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
3999,3999,1,5417,ELECTRONICA 2,MCT-PLS09 ,6,1,2012,1,1,2012,12,14,0,30,0,[3],1.0,,es_900,3.0
4000,4000,1,5417,ELECTRONICA 2,MCT-PLS09 ,6,1,2012,1,1,2012,20,23,0,38,0,[5],1.0,,es_583,5.0
4001,4001,1,5417,ELECTRONICA 2,MCT-PLS09 ,6,1,2012,1,1,2012,12,21,0,0,0,[3],1.0,,es_51,3.0
4002,4002,1,5417,ELECTRONICA 2,MCT-PLS09 ,6,1,2012,1,0,0,4,4,0,0,0,[0],1.0,,es_1003,0.0
4004,4004,1,5417,ELECTRONICA 2,MCT-PLS09 ,6,1,2012,1,1,2012,8,23,0,10,0,[2],1.0,,es_56,2.0
4168,4168,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,1,2012,8,12,0,28,0,[4],1.0,,es_33,4.0
4177,4177,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,1,2012,6,15,0,0,0,[3],1.0,,es_531,3.0
4183,4183,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,1,2012,13,21,0,16,0,[3],1.0,,es_899,3.0
4185,4185,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,0,0,5,6,0,14,0,[0],1.0,,es_1026,0.0
4192,4192,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,1,2012,12,22,0,0,0,[2],1.0,,es_907,2.0
4206,4206,1,5429,SISTEMAS DIGITALES 2,MCT-PLS09 ,8,1,2012,1,1,2012,14,23,0,0,0,[5],1.0,,es_1027,5.0
4559,4559,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,0,2012,4,26,0,32,0,[0],1.0,,es_892,0.0
4560,4560,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,11,30,0,0,0,[5],1.0,,es_894,5.0
4561,4561,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,10,16,0,0,0,[2],1.0,,es_906,2.0
4564,4564,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,17,26,0,0,0,[5],1.0,,es_44,5.0
4565,4565,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,10,15,0,32,0,[2],1.0,,es_1026,2.0
4567,4567,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,12,36,0,0,0,[5],1.0,,es_900,5.0
4568,4568,1,5607,ELEMENTOS DE MAQUINAS,MCT-PLS09 ,6,1,2012,1,1,2012,11,32,0,0,0,[5],1.0,,es_909,5.0
4765,4765,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,24,26,0,0,0,[5],1.0,,es_894,5.0
4766,4766,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,0,2012,4,23,0,0,0,[1],1.0,,es_896,1.0
4767,4767,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,14,17,0,0,0,[4],1.0,,es_906,4.0
4768,4768,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,18,20,0,0,0,[4],1.0,,es_898,4.0
4769,4769,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,24,23,0,0,0,[5],1.0,,es_900,5.0
4770,4770,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,18,31,0,0,0,[5],1.0,,es_583,5.0
4771,4771,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2012,17,26,0,0,0,[5],1.0,,es_1003,5.0
4772,4772,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,1,2011,24,19,0,0,0,[4],1.0,,es_909,4.0
4773,4773,1,5702,ACTUADORES Y MAQ. ELECTRICAS 1,MCT-PLS09 ,6,1,2012,1,0,0,9,8,0,0,0,[0],1.0,,es_901,0.0
4774,4774,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,21,21,5,0,0,[4],1.0,,es_892,4.0
4775,4775,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,19,18,6,20,0,[5],1.0,,es_894,5.0
4776,4776,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2011,5,18,2,14,0,[3],0.0,,es_896,3.0
4777,4777,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,24,23,6,0,0,[5],1.0,,es_898,5.0
4778,4778,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,16,23,6,27,0,[4],1.0,,es_900,4.0
4779,4779,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,28,24,6,0,0,[5],1.0,,es_583,5.0
4780,4780,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2011,18,24,2,0,0,[5],0.0,,es_909,5.0
4781,4781,1,5703,FENOMENOS DE TRANSPORTE,MCT-PLS09 ,6,1,2012,1,1,2012,24,19,7,0,0,[3],1.0,,es_901,3.0
4782,4782,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,0,2012,23,36,0,0,0,[0],1.0,,es_892,0.0
4783,4783,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,1,2012,0,36,0,0,0,[5],1.0,,es_894,5.0
4784,4784,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,0,2012,23,36,0,0,0,[0],1.0,,es_906,0.0
4785,4785,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_1026,5.0
4786,4786,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_900,5.0
4787,4787,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,0,2012,23,36,0,0,0,[0],1.0,,es_1003,0.0
4788,4788,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_56,5.0
4789,4789,1,5704,PROYECTO 1,MCT-PLS09 ,6,1,2012,1,1,2011,23,36,0,0,0,[5],1.0,,es_909,5.0
4790,4790,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,24,28,0,0,0,[5],1.0,,es_33,5.0
4791,4791,1,5708,SIST. DE CONTROL AUTOMATICO 2,MCT-PLS09 ,8,1,2012,1,1,2012,17,28,0,0,0,[4],1.0,,es_906,4.0
