,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
4958,4958,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_422,0.0
4959,4959,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_538,0.0
4960,4960,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,0,10,22,0,0,0,[0],1.0,,es_312,0.0
4961,4961,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,2012,14,15,0,35,0,[0],1.0,,es_1086,0.0
4962,4962,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,1,2012,20,11,0,0,0,[4],1.0,,es_430,4.0
4963,4963,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,2011,11,21,0,35,0,[0],0.0,,es_853,0.0
4964,4964,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_1088,0.0
4965,4965,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,2012,14,25,0,0,0,[1],1.0,,es_592,1.0
4966,4966,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,0,2011,11,0,0,0,0,[0],0.0,,es_117,0.0
4967,4967,1,7062,LEGISLACION,IND-PLS09 ,9,1,2012,1,1,2012,16,0,0,0,0,[5],1.0,,es_251,5.0
4968,4968,1,7062,LEGISLACION,IND-PLS09 ,9,1,2012,1,1,2012,21,0,0,0,0,[4],1.0,,es_855,4.0
4994,4994,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,1,2012,20,27,0,0,0,[5],1.0,,es_1082,5.0
