,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
5008,1,DISEÑO DE INST. INDUSTRIALES 1,1,2012,1,2012,23,36,0,[5],es_1090,5.0
5009,1,DISEÑO DE INST. INDUSTRIALES 1,1,2012,1,2012,23,32,0,[5],es_1091,5.0
5010,1,TERMOTECNIA,1,2012,0,2012,11,19,8,[0],es_243,0.0
5011,1,TERMOTECNIA,1,2012,1,2012,22,18,8,[4],es_1082,4.0
5012,1,TERMOTECNIA,1,2012,1,2012,16,22,8,[3],es_689,3.0
5013,1,TERMOTECNIA,1,2012,1,2012,13,21,7,[2],es_1084,2.0
5014,1,TERMOTECNIA,1,2012,0,0,0,0,0,[0],es_515,0.0
5015,1,TERMOTECNIA,1,2012,1,2012,16,24,8,[3],es_1085,3.0
5016,1,TERMOTECNIA,1,2012,1,2012,16,30,8,[5],es_1086,5.0
5017,1,TERMOTECNIA,1,2012,1,2012,12,21,7,[2],es_728,2.0
5018,1,TERMOTECNIA,1,2012,1,2012,14,19,8,[3],es_111,3.0
5019,1,TERMOTECNIA,1,2012,1,2012,0,17,7,[4],es_853,4.0
5020,1,TERMOTECNIA,1,2012,1,2012,13,27,10,[4],es_1087,4.0
5021,1,TERMOTECNIA,1,2012,1,2012,15,19,8,[3],es_1088,3.0
5022,1,TERMOTECNIA,1,2012,1,2012,20,26,9,[5],es_1089,5.0
5023,1,TERMOTECNIA,1,2012,1,2012,22,33,10,[5],es_1090,5.0
5024,1,TERMOTECNIA,1,2012,1,2012,16,21,3,[3],es_117,3.0
5025,1,TERMOTECNIA,1,2012,1,2012,20,26,9,[5],es_1091,5.0
5026,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,21,28,0,[5],es_243,5.0
5027,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,15,27,0,[4],es_1082,4.0
5029,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,19,21,0,[4],es_689,4.0
5030,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,21,20,0,[4],es_269,4.0
5031,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,12,32,0,[5],es_1084,5.0
5032,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,14,29,0,[5],es_277,5.0
5033,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,21,8,0,[3],es_515,3.0
5034,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,14,33,0,[5],es_1085,5.0
5035,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,0,0,0,0,0,[0],es_422,0.0
5036,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,14,36,0,[5],es_298,5.0
5037,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,0,0,0,0,0,[0],es_536,0.0
5038,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,0,0,0,0,0,[0],es_538,0.0
5039,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,21,34,0,[5],es_1086,5.0
5040,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,17,25,0,[4],es_430,4.0
5041,1,PLANIF. Y CONTROL DE LA PRODUCCION,1,2012,1,2012,22,31,0,[5],es_1087,5.0
