,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
1638,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2011,0,0,0,[0],es_810,0.0
1639,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,19,25,10,[4],es_120,4.0
1640,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,13,13,8,[0],es_125,0.0
1641,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,18,26,10,[4],es_476,4.0
1642,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,0,0,3,[0],es_256,0.0
1643,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2011,0,0,0,[0],es_410,0.0
1644,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,0,0,0,[0],es_480,0.0
1645,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,17,19,8,[1],es_260,1.0
1646,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,8,13,8,[0],es_261,0.0
1647,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,9,15,9,[0],es_157,0.0
1648,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,10,0,10,[0],es_490,0.0
1649,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,20,20,10,[3],es_491,3.0
1650,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,13,9,10,[2],es_266,2.0
1651,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,14,20,10,[2],es_496,2.0
1652,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,17,20,10,[3],es_267,3.0
1653,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,11,19,10,[0],es_135,0.0
1654,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,16,17,8,[5],es_790,5.0
1655,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,18,25,9,[4],es_791,4.0
1656,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,13,18,9,[4],es_285,4.0
1657,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2011,0,0,0,[0],es_811,0.0
1658,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,16,21,10,[4],es_138,4.0
1659,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,18,21,9,[3],es_294,3.0
1660,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2011,0,0,0,[0],es_126,0.0
1661,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,7,6,10,[0],es_812,0.0
1662,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,16,20,10,[2],es_159,2.0
1663,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,17,23,8,[4],es_792,4.0
1664,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,12,15,7,[0],es_793,0.0
1665,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,0,16,0,10,[0],es_794,0.0
1666,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,11,17,8,[4],es_144,4.0
1667,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,17,14,10,[0],es_314,0.0
1668,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,16,23,9,[3],es_318,3.0
1669,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2012,17,21,8,[0],es_813,0.0
1670,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,18,18,10,[3],es_322,3.0
1671,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,0,2011,13,0,7,[0],es_326,0.0
1672,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,14,13,10,"[1, 5]",es_328,3.0
1673,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,15,16,10,[4],es_161,4.0
1674,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2011,0,0,0,[4],es_814,4.0
1675,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,17,31,9,[5],es_795,5.0
1676,1,ESTRUCTURA METALICA Y DE MADERAS,1,2012,1,2012,18,23,10,[4],es_147,4.0
