,Unnamed: 0,danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Tercer.Par,Asis,Cuarto.Par,4P_60,id_anony
4956,4956,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,0,2,0,0,0,0,,0.0,1.0,,,es_698
4957,4957,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,2011,0,0,0,0,0,,0.0,0.0,,,es_277
4958,4958,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_422
4959,4959,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_538
4960,4960,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,0,10,22,0,0,0,,0.0,1.0,,,es_312
4961,4961,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,2012,14,15,0,35,0,,0.0,1.0,,,es_1086
4962,4962,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,S,2012,20,11,0,0,0,2F-4,0.0,1.0,,,es_430
4963,4963,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,2011,11,21,0,35,0,,0.0,0.0,,,es_853
4964,4964,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_1088
4965,4965,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,2012,14,25,0,0,0,1F-1,0.0,1.0,,,es_592
4966,4966,2012,1,7061,METODOLOGIA DE INVESTIGACION,IND-PLS09 ,7,1,2012,1,N,2011,11,0,0,0,0,,0.0,0.0,,,es_117
4967,4967,2012,1,7062,LEGISLACION,IND-PLS09 ,9,1,2012,1,S,2012,16,0,0,0,0,1F-5,0.0,1.0,,,es_251
4968,4968,2012,1,7062,LEGISLACION,IND-PLS09 ,9,1,2012,1,S,2012,21,0,0,0,0,1F-4,0.0,1.0,,,es_855
4994,4994,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,20,27,0,0,0,1F-5,0.0,1.0,,,es_1082
4995,4995,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,17,25,0,0,0,3F-3,0.0,0.0,,,es_1084
4996,4996,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,12,25,0,0,0,1F-4,0.0,1.0,,,es_1085
4997,4997,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,N,2012,14,26,0,0,0,,0.0,1.0,,,es_303
4998,4998,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_536
4999,4999,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,13,33,0,0,0,1F-5,0.0,1.0,,,es_106
5000,5000,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,21,29,0,0,0,1F-5,0.0,1.0,,,es_1086
5001,5001,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,21,25,0,0,0,1F-4,0.0,1.0,,,es_788
5003,5003,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,17,34,0,0,0,1F-5,0.0,1.0,,,es_111
5004,5004,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,15,29,0,0,0,1F-4,0.0,1.0,,,es_853
5005,5005,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,19,35,0,0,0,1F-5,0.0,1.0,,,es_1087
5006,5006,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,17,28,0,0,0,1F-3,0.0,1.0,,,es_1088
5007,5007,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,22,33,0,0,0,1F-5,0.0,1.0,,,es_1089
5008,5008,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,23,36,0,0,0,1F-5,0.0,1.0,,,es_1090
5009,5009,2012,1,7209,DISEÑO DE INST. INDUSTRIALES 1,IND-PLS09 ,6,1,2012,1,S,2012,23,32,0,0,0,1F-5,0.0,1.0,,,es_1091
5010,5010,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,N,2012,11,19,8,0,0,,0.0,1.0,,,es_243
5011,5011,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,22,18,8,0,0,1F-4,0.0,1.0,,,es_1082
5012,5012,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,16,22,8,0,0,1F-3,0.0,1.0,,,es_689
5013,5013,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,13,21,7,0,0,3F-2,0.0,1.0,,,es_1084
5014,5014,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_515
5015,5015,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,16,24,8,0,0,1F-3,0.0,1.0,,,es_1085
5016,5016,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,16,30,8,0,0,1F-5,0.0,1.0,,,es_1086
5017,5017,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,12,21,7,0,0,1F-2,0.0,1.0,,,es_728
5018,5018,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,14,19,8,0,0,1F-3,0.0,1.0,,,es_111
5019,5019,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,0,17,7,0,0,3F-4,0.0,1.0,,,es_853
5020,5020,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,13,27,10,0,0,1F-4,0.0,1.0,,,es_1087
5021,5021,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,15,19,8,0,0,1F-3,0.0,1.0,,,es_1088
5022,5022,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,20,26,9,0,0,1F-5,0.0,1.0,,,es_1089
5023,5023,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,22,33,10,0,0,1F-5,0.0,1.0,,,es_1090
5024,5024,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,16,21,3,0,0,1F-3,0.0,1.0,,,es_117
5025,5025,2012,1,7210,TERMOTECNIA,IND-PLS09 ,6,1,2012,1,S,2012,20,26,9,0,0,1F-5,0.0,1.0,,,es_1091
5026,5026,2012,1,7211,PLANIF. Y CONTROL DE LA PRODUCCION,IND-PLS09 ,6,1,2012,1,S,2012,21,28,0,0,0,2F-5,0.0,1.0,,,es_243
